period,red1,red2,red3,red4,red5,red6,blue,jackpot,first_prize_count,first_prize_amount,second_prize_count,second_prize_amount,total_bet_amount,draw_date
13042,1,8,12,13,15,33,3,191650228,7,0,131,0,0,2013-04-14
13043,3,6,14,15,17,25,16,130914304,16,0,247,0,0,2013-04-16
13044,3,5,11,18,26,28,6,113248452,12,0,337,0,0,2013-04-18
13045,6,7,8,14,23,31,12,123007759,7,0,138,0,0,2013-04-21
13046,3,16,19,20,24,26,6,143084851,7,0,95,0,0,2013-04-23
13047,1,8,11,17,27,30,12,167906106,6,0,116,0,0,2013-04-25
13048,10,13,17,28,30,32,4,55171877,37,0,119,0,0,2013-04-28
13049,10,13,14,16,21,32,14,114803190,2,0,41,0,0,2013-04-30
13050,3,7,13,18,22,25,3,116018802,9,0,228,0,0,2013-05-02
13051,8,12,15,19,28,29,2,30000000,33,0,450,0,0,2013-05-05
13052,6,7,14,21,22,24,13,48367032,8,0,104,0,0,2013-05-07
13053,3,12,13,22,30,33,14,89705790,5,0,132,0,0,2013-05-09
13054,3,4,8,14,21,28,14,101137064,14,0,202,0,0,2013-05-12
13055,8,18,19,22,27,32,6,116004306,6,0,97,0,0,2013-05-14
13056,3,12,25,26,28,29,16,138712270,5,0,88,0,0,2013-05-16
13057,13,16,19,23,26,28,5,152624208,6,0,146,0,0,2013-05-19
13058,8,11,17,21,23,24,5,138757060,13,0,243,0,0,2013-05-21
13059,3,10,18,24,27,29,9,99230450,11,0,134,0,0,2013-05-23
13060,5,7,10,13,19,20,15,110329152,8,0,206,0,0,2013-05-26
13061,5,6,7,12,13,18,12,30000000,43,0,830,0,0,2013-05-28
13062,1,6,7,19,22,27,2,83172610,2,0,102,0,0,2013-05-30
13063,10,15,18,20,23,31,12,142799949,3,0,84,0,0,2013-06-02
13064,1,9,13,22,25,32,12,172812165,5,0,72,0,0,2013-06-04
13065,7,18,19,23,29,30,2,201675690,5,0,165,0,0,2013-06-06
13066,1,3,16,17,20,32,7,182192048,8,0,96,0,0,2013-06-09
13067,1,4,9,15,22,30,6,137776720,16,0,163,0,0,2013-06-11
13068,2,7,13,20,25,27,6,135584520,10,0,203,0,0,2013-06-13
13069,7,16,17,18,30,33,6,30000000,105,0,190,0,0,2013-06-16
13070,2,3,9,10,28,30,6,58271360,13,0,152,0,0,2013-06-18
13071,5,12,21,23,26,28,9,31637441,11,0,173,0,0,2013-06-20
13072,2,8,11,14,19,33,9,83394408,2,0,144,0,0,2013-06-23
13073,2,9,13,17,20,28,11,31466432,19,0,185,0,0,2013-06-25
13074,3,6,8,14,19,32,3,76109739,3,0,101,0,0,2013-06-27
13075,4,6,9,25,30,33,14,148151453,0,0,47,0,0,2013-06-30
13076,14,23,24,26,29,30,3,213429920,1,0,43,0,0,2013-07-02
13077,9,14,23,24,26,29,3,90631848,31,0,186,0,0,2013-07-04
13078,3,5,17,18,26,27,15,125198288,8,0,223,0,0,2013-07-07
13079,7,13,17,19,22,26,13,108592428,12,0,102,0,0,2013-07-09
13080,10,11,12,23,28,32,16,126651295,5,0,103,0,0,2013-07-11
13081,1,4,10,13,21,31,13,164579200,4,0,122,0,0,2013-07-14
13082,4,13,14,20,22,30,6,177229420,5,0,178,0,0,2013-07-16
13083,5,6,12,14,19,23,9,101908566,18,0,225,0,0,2013-07-18
13084,5,7,9,11,20,21,3,101313260,10,0,136,0,0,2013-07-21
13085,2,8,12,14,16,32,16,119563094,7,0,135,0,0,2013-07-23
13086,2,4,11,13,16,26,11,147621963,3,0,80,0,0,2013-07-25
13087,2,13,19,23,24,28,5,159824838,6,0,121,0,0,2013-07-28
13088,9,15,20,21,22,24,14,203431818,3,0,119,0,0,2013-07-30
13089,4,8,12,19,21,25,13,173879650,14,0,210,0,0,2013-08-01
13090,2,5,11,23,24,29,8,30000000,46,0,154,0,0,2013-08-04
13091,4,14,24,25,28,31,10,30000000,22,0,61,0,0,2013-08-06
13092,7,11,15,21,26,31,6,39250888,8,0,103,0,0,2013-08-08
13093,1,2,8,26,29,31,14,113583018,2,0,111,0,0,2013-08-11
13094,2,4,14,18,20,22,7,85662203,11,0,113,0,0,2013-08-13
13095,1,6,15,19,28,29,10,122220820,5,0,144,0,0,2013-08-15
13096,1,2,22,28,29,30,15,133568694,9,0,112,0,0,2013-08-18
13097,5,14,17,22,23,25,7,165973926,3,0,152,0,0,2013-08-20
13098,7,15,18,19,20,26,14,61447820,28,0,291,0,0,2013-08-22
13099,5,11,20,21,26,31,3,57365841,13,0,173,0,0,2013-08-25
13100,4,8,11,14,16,20,11,110063013,0,0,61,0,0,2013-08-27
